
===== Classifying modified proteins as such ====
G1FV3-26172-MONOMER: Updating molecular-weight-seq from NIL to 27.178
G1FV3-29891-MONOMER: Updating molecular-weight-seq from NIL to 99.5
G1FV3-24588-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-27636-MONOMER: Updating molecular-weight-seq from NIL to 31.487
G1FV3-26173-MONOMER: Updating molecular-weight-seq from NIL to 28.897
G1FV3-27637-MONOMER: Updating molecular-weight-seq from NIL to 9.773
G1FV3-29892-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-26174-MONOMER: Updating molecular-weight-seq from NIL to 67.673
G1FV3-24589-MONOMER: Updating molecular-weight-seq from NIL to 29.306
G1FV3-26175-MONOMER: Updating molecular-weight-seq from NIL to 69.998
G1FV3-27648-MONOMER: Updating molecular-weight-seq from NIL to 34.727
G1FV3-27639-MONOMER: Updating molecular-weight-seq from NIL to 27.029
G1FV3-26176-MONOMER: Updating molecular-weight-seq from NIL to 2.658
G1FV3-27640-MONOMER: Updating molecular-weight-seq from NIL to 55.167
G1FV3-24590-MONOMER: Updating molecular-weight-seq from NIL to 64.04
G1FV3-29893-MONOMER: Updating molecular-weight-seq from NIL to 45.985
G1FV3-26177-MONOMER: Updating molecular-weight-seq from NIL to 87.299
G1FV3-27641-MONOMER: Updating molecular-weight-seq from NIL to 36.463
G1FV3-26178-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-27642-MONOMER: Updating molecular-weight-seq from NIL to 29.195
G1FV3-24591-MONOMER: Updating molecular-weight-seq from NIL to 23.583
G1FV3-29894-MONOMER: Updating molecular-weight-seq from NIL to 53.545
G1FV3-26179-MONOMER: Updating molecular-weight-seq from NIL to 36.602
G1FV3-27643-MONOMER: Updating molecular-weight-seq from NIL to 78.243
G1FV3-29895-MONOMER: Updating molecular-weight-seq from NIL to 36.208
G1FV3-26180-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-27650-MONOMER: Updating molecular-weight-seq from NIL to 32.605
G1FV3-24592-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-27644-MONOMER: Updating molecular-weight-seq from NIL to 45.815
G1FV3-26181-MONOMER: Updating molecular-weight-seq from NIL to 42.375
G1FV3-27645-MONOMER: Updating molecular-weight-seq from NIL to 65.537
G1FV3-26182-MONOMER: Updating molecular-weight-seq from NIL to 50.647
G1FV3-27647-MONOMER: Updating molecular-weight-seq from NIL to 51.396
G1FV3-24593-MONOMER: Updating molecular-weight-seq from NIL to 35.842
G1FV3-29896-MONOMER: Updating molecular-weight-seq from NIL to 56.303
G1FV3-26183-MONOMER: Updating molecular-weight-seq from NIL to 75.737
G1FV3-26184-MONOMER: Updating molecular-weight-seq from NIL to 73.027
G1FV3-29897-MONOMER: Updating molecular-weight-seq from NIL to 13.498
G1FV3-24594-MONOMER: Updating molecular-weight-seq from NIL to 132.824
G1FV3-27649-MONOMER: Updating molecular-weight-seq from NIL to 19.42
G1FV3-26185-MONOMER: Updating molecular-weight-seq from NIL to 43.946
G1FV3-27653-MONOMER: Updating molecular-weight-seq from NIL to 24.866
G1FV3-26186-MONOMER: Updating molecular-weight-seq from NIL to 167.464
G1FV3-24595-MONOMER: Updating molecular-weight-seq from NIL to 64.458
G1FV3-29898-MONOMER: Updating molecular-weight-seq from NIL to 66.39
G1FV3-26187-MONOMER: Updating molecular-weight-seq from NIL to 49.589
G1FV3-27652-MONOMER: Updating molecular-weight-seq from NIL to 29.004
G1FV3-26188-MONOMER: Updating molecular-weight-seq from NIL to 18.646
G1FV3-24596-MONOMER: Updating molecular-weight-seq from NIL to 41.047
G1FV3-29899-MONOMER: Updating molecular-weight-seq from NIL to 16.21
G1FV3-26189-MONOMER: Updating molecular-weight-seq from NIL to 81.94
G1FV3-27655-MONOMER: Updating molecular-weight-seq from NIL to 43.881
G1FV3-27654-MONOMER: Updating molecular-weight-seq from NIL to 97.265
G1FV3-26190-MONOMER: Updating molecular-weight-seq from NIL to 34.722
G1FV3-27656-MONOMER: Updating molecular-weight-seq from NIL to 15.839
G1FV3-24597-MONOMER: Updating molecular-weight-seq from NIL to 45.851
G1FV3-29900-MONOMER: Updating molecular-weight-seq from NIL to 143.663
G1FV3-26191-MONOMER: Updating molecular-weight-seq from NIL to 42.133
G1FV3-29901-MONOMER: Updating molecular-weight-seq from NIL to 42.931
G1FV3-26192-MONOMER: Updating molecular-weight-seq from NIL to 41.649
G1FV3-24598-MONOMER: Updating molecular-weight-seq from NIL to 15.46
G1FV3-27658-MONOMER: Updating molecular-weight-seq from NIL to 39.314
G1FV3-26193-MONOMER: Updating molecular-weight-seq from NIL to 154.173
G1FV3-27659-MONOMER: Updating molecular-weight-seq from NIL to 51.183
G1FV3-26194-MONOMER: Updating molecular-weight-seq from NIL to 63.723
G1FV3-29902-MONOMER: Updating molecular-weight-seq from NIL to 26.175
G1FV3-24599-MONOMER: Updating molecular-weight-seq from NIL to 82.771
G1FV3-27660-MONOMER: Updating molecular-weight-seq from NIL to 23.067
G1FV3-26195-MONOMER: Updating molecular-weight-seq from NIL to 132.822
G1FV3-27662-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-29903-MONOMER: Updating molecular-weight-seq from NIL to 92.677
G1FV3-26198-MONOMER: Updating molecular-weight-seq from NIL to 48.981
G1FV3-24600-MONOMER: Updating molecular-weight-seq from NIL to 60.461
G1FV3-26199-MONOMER: Updating molecular-weight-seq from NIL to 31.74
G1FV3-27663-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-26200-MONOMER: Updating molecular-weight-seq from NIL to 94.396
G1FV3-29904-MONOMER: Updating molecular-weight-seq from NIL to 74.256
G1FV3-24601-MONOMER: Updating molecular-weight-seq from NIL to 12.803
G1FV3-27664-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-26201-MONOMER: Updating molecular-weight-seq from NIL to 47.32
G1FV3-27665-MONOMER: Updating molecular-weight-seq from NIL to 51.517
G1FV3-29905-MONOMER: Updating molecular-weight-seq from NIL to 54.077
G1FV3-26202-MONOMER: Updating molecular-weight-seq from NIL to 38.832
G1FV3-24602-MONOMER: Updating molecular-weight-seq from NIL to 50.123
G1FV3-27666-MONOMER: Updating molecular-weight-seq from NIL to 109.958
G1FV3-26203-MONOMER: Updating molecular-weight-seq from NIL to 19.483
G1FV3-29906-MONOMER: Updating molecular-weight-seq from NIL to 138.562
G1FV3-27667-MONOMER: Updating molecular-weight-seq from NIL to 38.75
G1FV3-26204-MONOMER: Updating molecular-weight-seq from NIL to 66.044
G1FV3-27670-MONOMER: Updating molecular-weight-seq from NIL to 58.79
G1FV3-24603-MONOMER: Updating molecular-weight-seq from NIL to 102.602
G1FV3-27668-MONOMER: Updating molecular-weight-seq from NIL to 25.067
G1FV3-26205-MONOMER: Updating molecular-weight-seq from NIL to 15.257
G1FV3-27669-MONOMER: Updating molecular-weight-seq from NIL to 40.384
G1FV3-26206-MONOMER: Updating molecular-weight-seq from NIL to 60.38
G1FV3-24604-MONOMER: Updating molecular-weight-seq from NIL to 20.365
G1FV3-29907-MONOMER: Updating molecular-weight-seq from NIL to 28.447
G1FV3-26207-MONOMER: Updating molecular-weight-seq from NIL to 14.972
G1FV3-27671-MONOMER: Updating molecular-weight-seq from NIL to 33.612
G1FV3-26208-MONOMER: Updating molecular-weight-seq from NIL to 35.166
G1FV3-29908-MONOMER: Updating molecular-weight-seq from NIL to 36.74
G1FV3-24605-MONOMER: Updating molecular-weight-seq from NIL to 61.6
G1FV3-27672-MONOMER: Updating molecular-weight-seq from NIL to 39.082
G1FV3-26209-MONOMER: Updating molecular-weight-seq from NIL to 28.996
G1FV3-27673-MONOMER: Updating molecular-weight-seq from NIL to 103.918
G1FV3-26211-MONOMER: Updating molecular-weight-seq from NIL to 67.266
G1FV3-27674-MONOMER: Updating molecular-weight-seq from NIL to 65.219
G1FV3-24606-MONOMER: Updating molecular-weight-seq from NIL to 75.765
G1FV3-29909-MONOMER: Updating molecular-weight-seq from NIL to 99.389
G1FV3-26212-MONOMER: Updating molecular-weight-seq from NIL to 110.024
G1FV3-27675-MONOMER: Updating molecular-weight-seq from NIL to 14.851
G1FV3-26213-MONOMER: Updating molecular-weight-seq from NIL to 141.725
G1FV3-29910-MONOMER: Updating molecular-weight-seq from NIL to 39.983
G1FV3-24607-MONOMER: Updating molecular-weight-seq from NIL to 116.98
G1FV3-27676-MONOMER: Updating molecular-weight-seq from NIL to 108.605
G1FV3-26214-MONOMER: Updating molecular-weight-seq from NIL to 22.459
G1FV3-27677-MONOMER: Updating molecular-weight-seq from NIL to 46.315
G1FV3-29911-MONOMER: Updating molecular-weight-seq from NIL to 59.26
G1FV3-26215-MONOMER: Updating molecular-weight-seq from NIL to 21.209
G1FV3-24608-MONOMER: Updating molecular-weight-seq from NIL to 24.922
G1FV3-27678-MONOMER: Updating molecular-weight-seq from NIL to 15.097
G1FV3-26216-MONOMER: Updating molecular-weight-seq from NIL to 126.735
G1FV3-29912-MONOMER: Updating molecular-weight-seq from NIL to 56.33
G1FV3-27679-MONOMER: Updating molecular-weight-seq from NIL to 112.939
G1FV3-26217-MONOMER: Updating molecular-weight-seq from NIL to 78.357
G1FV3-27680-MONOMER: Updating molecular-weight-seq from NIL to 51.512
G1FV3-24609-MONOMER: Updating molecular-weight-seq from NIL to 25.808
G1FV3-26218-MONOMER: Updating molecular-weight-seq from NIL to 91.147
G1FV3-27682-MONOMER: Updating molecular-weight-seq from NIL to 32.888
G1FV3-29913-MONOMER: Updating molecular-weight-seq from NIL to 51.108
G1FV3-27681-MONOMER: Updating molecular-weight-seq from NIL to 9.685
G1FV3-26219-MONOMER: Updating molecular-weight-seq from NIL to 236.821
G1FV3-24610-MONOMER: Updating molecular-weight-seq from NIL to 37.856
G1FV3-26220-MONOMER: Updating molecular-weight-seq from NIL to 11.989
G1FV3-27683-MONOMER: Updating molecular-weight-seq from NIL to 20.796
G1FV3-26221-MONOMER: Updating molecular-weight-seq from NIL to 25.443
G1FV3-27684-MONOMER: Updating molecular-weight-seq from NIL to 17.618
G1FV3-24612-MONOMER: Updating molecular-weight-seq from NIL to 288.657
G1FV3-29914-MONOMER: Updating molecular-weight-seq from NIL to 38.276
G1FV3-26222-MONOMER: Updating molecular-weight-seq from NIL to 34.66
G1FV3-29915-MONOMER: Updating molecular-weight-seq from NIL to 41.856
G1FV3-27685-MONOMER: Updating molecular-weight-seq from NIL to 87.596
G1FV3-26223-MONOMER: Updating molecular-weight-seq from NIL to 56.172
G1FV3-27686-MONOMER: Updating molecular-weight-seq from NIL to 2.995
G1FV3-24614-MONOMER: Updating molecular-weight-seq from NIL to 34.578
G1FV3-26224-MONOMER: Updating molecular-weight-seq from NIL to 25.685
G1FV3-29916-MONOMER: Updating molecular-weight-seq from NIL to 45.003
G1FV3-27687-MONOMER: Updating molecular-weight-seq from NIL to 46.24
G1FV3-26225-MONOMER: Updating molecular-weight-seq from NIL to 38.192
G1FV3-27690-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-24615-MONOMER: Updating molecular-weight-seq from NIL to 74.303
G1FV3-27688-MONOMER: Updating molecular-weight-seq from NIL to 56.196
G1FV3-26226-MONOMER: Updating molecular-weight-seq from NIL to 44.549
G1FV3-27689-MONOMER: Updating molecular-weight-seq from NIL to 98.693
G1FV3-26227-MONOMER: Updating molecular-weight-seq from NIL to 41.829
G1FV3-24616-MONOMER: Updating molecular-weight-seq from NIL to 51.981
G1FV3-29917-MONOMER: Updating molecular-weight-seq from NIL to 93.202
G1FV3-26228-MONOMER: Updating molecular-weight-seq from NIL to 172.981
G1FV3-27691-MONOMER: Updating molecular-weight-seq from NIL to 27.918
G1FV3-26229-MONOMER: Updating molecular-weight-seq from NIL to 32.14
G1FV3-29918-MONOMER: Updating molecular-weight-seq from NIL to 53.294
G1FV3-24617-MONOMER: Updating molecular-weight-seq from NIL to 54.628
G1FV3-27692-MONOMER: Updating molecular-weight-seq from NIL to 53.779
G1FV3-26230-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-27695-MONOMER: Updating molecular-weight-seq from NIL to 2.879
G1FV3-27693-MONOMER: Updating molecular-weight-seq from NIL to 17.099
G1FV3-26231-MONOMER: Updating molecular-weight-seq from NIL to 70.166
G1FV3-29919-MONOMER: Updating molecular-weight-seq from NIL to 62.688
G1FV3-24618-MONOMER: Updating molecular-weight-seq from NIL to 38.763
G1FV3-27694-MONOMER: Updating molecular-weight-seq from NIL to 2.795
G1FV3-26232-MONOMER: Updating molecular-weight-seq from NIL to 68.539
G1FV3-29920-MONOMER: Updating molecular-weight-seq from NIL to 2.697
G1FV3-26233-MONOMER: Updating molecular-weight-seq from NIL to 103.075
G1FV3-27696-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-24619-MONOMER: Updating molecular-weight-seq from NIL to 33.832
G1FV3-26234-MONOMER: Updating molecular-weight-seq from NIL to 42.774
G1FV3-27697-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-26235-MONOMER: Updating molecular-weight-seq from NIL to 116.387
G1FV3-28062-MONOMER: Updating molecular-weight-seq from NIL to 42.436
G1FV3-24620-MONOMER: Updating molecular-weight-seq from NIL to 71.498
G1FV3-29921-MONOMER: Updating molecular-weight-seq from NIL to 229.969
G1FV3-26236-MONOMER: Updating molecular-weight-seq from NIL to 123.129
G1FV3-27699-MONOMER: Updating molecular-weight-seq from NIL to 27.357
G1FV3-26237-MONOMER: Updating molecular-weight-seq from NIL to 134.257
G1FV3-27700-MONOMER: Updating molecular-weight-seq from NIL to 33.862
G1FV3-24621-MONOMER: Updating molecular-weight-seq from NIL to 32.776
G1FV3-29922-MONOMER: Updating molecular-weight-seq from NIL to 32.817
G1FV3-26238-MONOMER: Updating molecular-weight-seq from NIL to 59.842
G1FV3-27701-MONOMER: Updating molecular-weight-seq from NIL to 41.38
G1FV3-29923-MONOMER: Updating molecular-weight-seq from NIL to 109.812
G1FV3-26239-MONOMER: Updating molecular-weight-seq from NIL to 46.282
G1FV3-24622-MONOMER: Updating molecular-weight-seq from NIL to 79.966
G1FV3-27702-MONOMER: Updating molecular-weight-seq from NIL to 47.325
G1FV3-26240-MONOMER: Updating molecular-weight-seq from NIL to 180.756
G1FV3-27703-MONOMER: Updating molecular-weight-seq from NIL to 59.129
G1FV3-26241-MONOMER: Updating molecular-weight-seq from NIL to 108.172
G1FV3-24623-MONOMER: Updating molecular-weight-seq from NIL to 28.319
G1FV3-29924-MONOMER: Updating molecular-weight-seq from NIL to 26.49
G1FV3-26243-MONOMER: Updating molecular-weight-seq from NIL to 5.021
G1FV3-27705-MONOMER: Updating molecular-weight-seq from NIL to 37.639
G1FV3-26244-MONOMER: Updating molecular-weight-seq from NIL to 2.879
G1FV3-29925-MONOMER: Updating molecular-weight-seq from NIL to 54.473
G1FV3-24624-MONOMER: Updating molecular-weight-seq from NIL to 36.2
G1FV3-27706-MONOMER: Updating molecular-weight-seq from NIL to 90.681
G1FV3-26245-MONOMER: Updating molecular-weight-seq from NIL to 40.526
G1FV3-27707-MONOMER: Updating molecular-weight-seq from NIL to 63.808
G1FV3-26246-MONOMER: Updating molecular-weight-seq from NIL to 98.644
G1FV3-24625-MONOMER: Updating molecular-weight-seq from NIL to 41.67
G1FV3-29926-MONOMER: Updating molecular-weight-seq from NIL to 10.443
G1FV3-26247-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-27709-MONOMER: Updating molecular-weight-seq from NIL to 76.06
G1FV3-26248-MONOMER: Updating molecular-weight-seq from NIL to 58.678
G1FV3-27710-MONOMER: Updating molecular-weight-seq from NIL to 27.053
G1FV3-24626-MONOMER: Updating molecular-weight-seq from NIL to 23.93
G1FV3-29927-MONOMER: Updating molecular-weight-seq from NIL to 23.442
G1FV3-26249-MONOMER: Updating molecular-weight-seq from NIL to 15.795
G1FV3-27711-MONOMER: Updating molecular-weight-seq from NIL to 12.311
G1FV3-26250-MONOMER: Updating molecular-weight-seq from NIL to 115.064
G1FV3-29928-MONOMER: Updating molecular-weight-seq from NIL to 15.594
G1FV3-24627-MONOMER: Updating molecular-weight-seq from NIL to 73.524
G1FV3-27712-MONOMER: Updating molecular-weight-seq from NIL to 26.871
G1FV3-26251-MONOMER: Updating molecular-weight-seq from NIL to 40.038
G1FV3-27713-MONOMER: Updating molecular-weight-seq from NIL to 23.634
G1FV3-26252-MONOMER: Updating molecular-weight-seq from NIL to 36.353
G1FV3-24628-MONOMER: Updating molecular-weight-seq from NIL to 25.645
G1FV3-29929-MONOMER: Updating molecular-weight-seq from NIL to 46.009
G1FV3-26253-MONOMER: Updating molecular-weight-seq from NIL to 48.04
G1FV3-27715-MONOMER: Updating molecular-weight-seq from NIL to 34.924
G1FV3-29930-MONOMER: Updating molecular-weight-seq from NIL to 123.521
G1FV3-26254-MONOMER: Updating molecular-weight-seq from NIL to 58.132
G1FV3-24629-MONOMER: Updating molecular-weight-seq from NIL to 63.899
G1FV3-27716-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-26255-MONOMER: Updating molecular-weight-seq from NIL to 34.684
G1FV3-29931-MONOMER: Updating molecular-weight-seq from NIL to 72.31
G1FV3-27717-MONOMER: Updating molecular-weight-seq from NIL to 88.576
G1FV3-26256-MONOMER: Updating molecular-weight-seq from NIL to 21.64
G1FV3-28392-MONOMER: Updating molecular-weight-seq from NIL to 70.478
G1FV3-24630-MONOMER: Updating molecular-weight-seq from NIL to 52.362
G1FV3-27718-MONOMER: Updating molecular-weight-seq from NIL to 45.736
G1FV3-26257-MONOMER: Updating molecular-weight-seq from NIL to 102.262
G1FV3-28292-MONOMER: Updating molecular-weight-seq from NIL to 73.88
G1FV3-27719-MONOMER: Updating molecular-weight-seq from NIL to 57.005
G1FV3-26258-MONOMER: Updating molecular-weight-seq from NIL to 24.813
G1FV3-27720-MONOMER: Updating molecular-weight-seq from NIL to 3.158
G1FV3-24631-MONOMER: Updating molecular-weight-seq from NIL to 2.795
G1FV3-29932-MONOMER: Updating molecular-weight-seq from NIL to 41.294
G1FV3-26259-MONOMER: Updating molecular-weight-seq from NIL to 39.368
G1FV3-27721-MONOMER: Updating molecular-weight-seq from NIL to 12.041
G1FV3-26260-MONOMER: Updating molecular-weight-seq from NIL to 30.297
G1FV3-27722-MONOMER: Updating molecular-weight-seq from NIL to 74.89
G1FV3-24632-MONOMER: Updating molecular-weight-seq from NIL to 40.386
G1FV3-29933-MONOMER: Updating molecular-weight-seq from NIL to 15.927
G1FV3-26261-MONOMER: Updating molecular-weight-seq from NIL to 41.836
G1FV3-27723-MONOMER: Updating molecular-weight-seq from NIL to 36.171
G1FV3-29934-MONOMER: Updating molecular-weight-seq from NIL to 165.886
G1FV3-26262-MONOMER: Updating molecular-weight-seq from NIL to 21.061
G1FV3-27724-MONOMER: Updating molecular-weight-seq from NIL to 89.91
G1FV3-24633-MONOMER: Updating molecular-weight-seq from NIL to 123.73
G1FV3-26263-MONOMER: Updating molecular-weight-seq from NIL to 37.976
G1FV3-27725-MONOMER: Updating molecular-weight-seq from NIL to 3.091
G1FV3-26264-MONOMER: Updating molecular-weight-seq from NIL to 48.804
G1FV3-29936-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-24634-MONOMER: Updating molecular-weight-seq from NIL to 49.436
G1FV3-27726-MONOMER: Updating molecular-weight-seq from NIL to 22.663
G1FV3-26265-MONOMER: Updating molecular-weight-seq from NIL to 29.676
G1FV3-29937-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-27727-MONOMER: Updating molecular-weight-seq from NIL to 122.741
G1FV3-26266-MONOMER: Updating molecular-weight-seq from NIL to 53.914
G1FV3-28115-MONOMER: Updating molecular-weight-seq from NIL to 33.104
G1FV3-24635-MONOMER: Updating molecular-weight-seq from NIL to 43.064
G1FV3-26267-MONOMER: Updating molecular-weight-seq from NIL to 30.342
G1FV3-28215-MONOMER: Updating molecular-weight-seq from NIL to 147.407
G1FV3-29938-MONOMER: Updating molecular-weight-seq from NIL to 80.831
G1FV3-27729-MONOMER: Updating molecular-weight-seq from NIL to 85.497
G1FV3-26268-MONOMER: Updating molecular-weight-seq from NIL to 28.844
G1FV3-27730-MONOMER: Updating molecular-weight-seq from NIL to 24.286
G1FV3-24636-MONOMER: Updating molecular-weight-seq from NIL to 65.655
G1FV3-26269-MONOMER: Updating molecular-weight-seq from NIL to 52.84
G1FV3-29940-MONOMER: Updating molecular-weight-seq from NIL to 81.715
G1FV3-28492-MONOMER: Updating molecular-weight-seq from NIL to 64.899
G1FV3-27731-MONOMER: Updating molecular-weight-seq from NIL to 13.673
G1FV3-26270-MONOMER: Updating molecular-weight-seq from NIL to 16.082
G1FV3-27732-MONOMER: Updating molecular-weight-seq from NIL to 64.188
G1FV3-24637-MONOMER: Updating molecular-weight-seq from NIL to 69.523
G1FV3-26271-MONOMER: Updating molecular-weight-seq from NIL to 101.89
G1FV3-28892-MONOMER: Updating molecular-weight-seq from NIL to 13.992
G1FV3-27733-MONOMER: Updating molecular-weight-seq from NIL to 21.777
G1FV3-26272-MONOMER: Updating molecular-weight-seq from NIL to 134.519
G1FV3-27734-MONOMER: Updating molecular-weight-seq from NIL to 77.113
G1FV3-24638-MONOMER: Updating molecular-weight-seq from NIL to 62.134
G1FV3-29941-MONOMER: Updating molecular-weight-seq from NIL to 80.122
G1FV3-26273-MONOMER: Updating molecular-weight-seq from NIL to 39.606
G1FV3-27735-MONOMER: Updating molecular-weight-seq from NIL to 17.755
G1FV3-29942-MONOMER: Updating molecular-weight-seq from NIL to 78.271
G1FV3-26274-MONOMER: Updating molecular-weight-seq from NIL to 65.007
G1FV3-28592-MONOMER: Updating molecular-weight-seq from NIL to 19.11
G1FV3-24639-MONOMER: Updating molecular-weight-seq from NIL to 60.401
G1FV3-27736-MONOMER: Updating molecular-weight-seq from NIL to 3.294
G1FV3-26275-MONOMER: Updating molecular-weight-seq from NIL to 120.766
G1FV3-29943-MONOMER: Updating molecular-weight-seq from NIL to 63.789
G1FV3-27737-MONOMER: Updating molecular-weight-seq from NIL to 146.627
G1FV3-26276-MONOMER: Updating molecular-weight-seq from NIL to 114.557
G1FV3-28792-MONOMER: Updating molecular-weight-seq from NIL to 11.426
G1FV3-24640-MONOMER: Updating molecular-weight-seq from NIL to 99.934
G1FV3-26277-MONOMER: Updating molecular-weight-seq from NIL to 26.272
G1FV3-27739-MONOMER: Updating molecular-weight-seq from NIL to 171.974
G1FV3-29944-MONOMER: Updating molecular-weight-seq from NIL to 57.936
G1FV3-28692-MONOMER: Updating molecular-weight-seq from NIL to 56.121
G1FV3-26278-MONOMER: Updating molecular-weight-seq from NIL to 37.584
G1FV3-27740-MONOMER: Updating molecular-weight-seq from NIL to 16.385
G1FV3-24641-MONOMER: Updating molecular-weight-seq from NIL to 46.505
G1FV3-26279-MONOMER: Updating molecular-weight-seq from NIL to 6.86
G1FV3-29945-MONOMER: Updating molecular-weight-seq from NIL to 68.711
G1FV3-27741-MONOMER: Updating molecular-weight-seq from NIL to 94.446
G1FV3-26280-MONOMER: Updating molecular-weight-seq from NIL to 21.119
G1FV3-27742-MONOMER: Updating molecular-weight-seq from NIL to 123.655
G1FV3-24642-MONOMER: Updating molecular-weight-seq from NIL to 30.741
G1FV3-26281-MONOMER: Updating molecular-weight-seq from NIL to 173.386
G1FV3-27743-MONOMER: Updating molecular-weight-seq from NIL to 67.64
G1FV3-26282-MONOMER: Updating molecular-weight-seq from NIL to 39.718
G1FV3-27744-MONOMER: Updating molecular-weight-seq from NIL to 42.364
G1FV3-24643-MONOMER: Updating molecular-weight-seq from NIL to 60.796
G1FV3-29946-MONOMER: Updating molecular-weight-seq from NIL to 107.43
G1FV3-26283-MONOMER: Updating molecular-weight-seq from NIL to 31.376
G1FV3-27745-MONOMER: Updating molecular-weight-seq from NIL to 59.001
G1FV3-26284-MONOMER: Updating molecular-weight-seq from NIL to 78.654
G1FV3-27746-MONOMER: Updating molecular-weight-seq from NIL to 109.946
G1FV3-24644-MONOMER: Updating molecular-weight-seq from NIL to 23.084
G1FV3-29947-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-26285-MONOMER: Updating molecular-weight-seq from NIL to 52.016
G1FV3-27747-MONOMER: Updating molecular-weight-seq from NIL to 12.378
